0.0,0
42376.0,0,4,13,16,17
42376.0,0,5,8,9,12
38516.0,0,5,8,9,13
41072.0,0,5,8,9,16
38516.0,0,5,8,9,17
41416.0,0,5,8,12,13
32605.0,0,5,8,12,16
53333.33,0,5,8,12,17
53333.33,0,5,8,13,16
30000.0,0,5,8,13,17
41416.0,0,5,8,16,17
37556.0,0,5,9,12,13
53333.33,0,5,9,12,16
30146.0,0,5,9,12,17
30000.0,0,5,9,13,16
0.0,0,5,9,13,17
38860.0,0,5,9,16,17
41072.0,0,5,12,13,16
37556.0,0,5,12,13,17
42376.0,0,5,12,16,17
38860.0,0,5,13,16,17
62738.67,0,8,9,12,13
